id,turnover_1s,gross_sr,maker_sr,taker_sr,t,taker_sr_2023on,corr_mom,combo_dSR,verdict
mom30s1,0.3463,1.2015,1.1158,0.9872,2.4775,1.1837,1.0000,0.0000,baseline
K1_carry_1d,0.8719,0.5787,0.4054,0.1454,0.3651,-0.1529,0.0598,-0.2097,reject
K2_carry_7d,0.3141,1.2628,1.1671,1.0234,2.5696,0.5392,0.0422,0.4115,PASS standalone+div
K3_carry_30d,0.1651,0.7673,0.7148,0.6362,1.5974,0.5738,0.0882,0.1216,PASS diversifier
K4_rev_1d,1.5388,0.1111,-0.2900,-0.8915,-2.2383,-0.8569,-0.0454,-0.9184,REJECT wrong-sign
K5_rev_3d,0.9282,-0.5036,-0.7326,-1.0761,-2.7020,-1.1297,-0.2757,-1.0557,REJECT wrong-sign
K6_lowvol_30d,0.1822,-0.4501,-0.4895,-0.5486,-1.3771,-0.6487,-0.1909,-0.6444,REJECT wrong-sign
K7_bab_60d,0.1774,-0.1617,-0.2060,-0.2723,-0.6792,-0.2599,0.1018,-0.5389,REJECT wrong-sign
K8_max_30d,0.1803,-0.5176,-0.5612,-0.6266,-1.5729,-0.7067,-0.2862,-0.6873,REJECT wrong-sign
K9_skew_30d,0.2737,-1.0751,-1.1584,-1.2834,-3.2217,-1.2128,-0.3441,-1.2427,REJECT wrong-sign
K10_size_qv,0.1445,0.6431,0.5928,0.5172,1.2986,-0.3564,-0.0577,0.1063,PASS diversifier
K11_amihud_30d,0.1433,0.7972,0.7536,0.6881,1.7274,0.3328,-0.0027,0.1997,PASS diversifier
K13_volz_7d,0.2652,-0.8388,-0.9131,-1.0247,-2.5390,-1.3678,-0.4960,-1.0189,REJECT wrong-sign
K14_high_90d,0.2955,1.1290,1.0527,0.9382,2.3233,0.9011,0.5557,0.0575,PASS standalone
K12_tbr_7d,0.4014,2.2586,2.1332,1.9451,4.8838,1.9353,0.3734,0.7848,PASS standalone+div
