ticker,year,trading_days,paired_quote_days,coverage,first_quote,last_quote,n_partitions
APP,2021,182,178,0.978,2021-04-21,2026-04-07,149
APP,2022,251,250,0.996,2021-04-21,2026-04-07,149
APP,2023,250,250,1.0,2021-04-21,2026-04-07,149
APP,2024,252,252,1.0,2021-04-21,2026-04-07,149
APP,2025,250,250,1.0,2021-04-21,2026-04-07,149
APP,2026,65,65,1.0,2021-04-21,2026-04-07,149
AVGO,2016,252,233,0.9246,2016-01-04,2016-12-23,49
AVGO,2017,251,0,0.0,2016-01-04,2016-12-23,49
AVGO,2018,251,0,0.0,2016-01-04,2016-12-23,49
AVGO,2019,252,0,0.0,2016-01-04,2016-12-23,49
AVGO,2020,253,0,0.0,2016-01-04,2016-12-23,49
AVGO,2021,252,0,0.0,2016-01-04,2016-12-23,49
AVGO,2022,251,0,0.0,2016-01-04,2016-12-23,49
AVGO,2023,250,0,0.0,2016-01-04,2016-12-23,49
AVGO,2024,252,0,0.0,2016-01-04,2016-12-23,49
AVGO,2025,250,0,0.0,2016-01-04,2016-12-23,49
AVGO,2026,65,0,0.0,2016-01-04,2016-12-23,49
